id,type,text1,text2,text3,text4,notes
lightmg,,"FR: Une mitrailleuse légère conçue pour le support rapproché. Excellente contre les chasseurs et les frégates légères.

La Light MG combine une cadence de tir élevée avec une bonne précision à courte portée. Sa consommation de munitions modérée en fait une arme efficace pour les engagements prolongés.

Particulièrement efficace en configuration multiple pour saturer les défenses ennemies.",,,,
lightdualmg,,"FR: Une version améliorée à double canon de la vénérable mitrailleuse légère. Inefficace contre les cibles blindées, mais excelle dans un rôle anti-missile et anti-chasseur depuis l'aube du combat spatial humain.

Il s'agit d'un montage double de la même arme à projectiles chimiques inertes de petit calibre à tir rapide connue de tous les pilotes du Secteur. Un excellent montage de défense ponctuelle, qui excelle à la fois dans l'interception de missiles et le rôle anti-chasseur.

La grande quantité d'énergie cinétique délivrée aux systèmes de boucliers des vaisseaux ennemis à courte portée provoque généralement une surcharge des émetteurs, une option tactique souvent négligée par les capitaines inexpérimentés.",,,,
lightmortar,,"FR: Une arme archaïque qui tire des obus anti-blindage avec une faible cadence de tir, une faible vitesse initiale et une portée limitée. Sa faible accumulation de flux est son seul avantage.

Les plans de l'arme pour les Mortiers Légers ne les destinaient pas du tout aux vaisseaux spatiaux, mais une modification ingénieuse du mécanisme de chargement par la culasse permet leur installation et leur utilisation en dehors d'un environnement atmosphérique. Au combat, le Mortier Léger peut faire peu de choses contre les cibles mobiles ou blindées en raison de sa terrible rotation de montage et de sa cadence de tir. Néanmoins, il est souvent utilisé pour former les officiers d'artillerie novices aux subtilités de la tactique et de la nomenclature balistique spatiale.

Couramment installé sur les yachts privés et les véhicules interplanétaires solo car il est très léger et peu coûteux.",,,,
heavymortar,,"FR: Une arme archaïque qui tire des obus anti-blindage plus gros avec une cadence de tir légèrement supérieure à celle de son petit cousin. La vitesse des projectiles est faible et la portée effective est courte. Sa faible accumulation de flux est son seul avantage.

Le Mortier Lourd était à l'origine conçu pour le combat de surface planétaire. Ostensiblement destiné à briser les fortifications, il a été beaucoup plus utilisé dans les bombardements urbains. Les mécanismes internes robustes permettent son installation et son utilisation en dehors d'un environnement atmosphérique avec seulement des ajustements mineurs, notamment le remplacement du module de télémétrie/ciblage automatique. S'il est employé contre une cible grande, non blindée et lente, le mortier lourd peut s'avérer très efficace.",,,,
vulcan,,"FR: Une arme à tir rapide particulièrement dévastatrice contre les missiles et les chasseurs à bout portant. La précision se dégrade rapidement pendant les rafales prolongées.

Un mécanisme de synchronisation avancé bat au cœur de cette plateforme d'arme multi-canons, généralement fabriquée uniquement par les Autofactories sous licence de l'Hégémonie. Les munitions utilisent généralement des pointes en uranium appauvri et sont non explosives. Les multiples canons permettent une cadence de tir extrêmement élevée, qui a un coût en flux.",,,,
lightac,,"FR: Un canon automatique de petit calibre avec une bonne portée pour une arme si légère. Conçu pour affaiblir les boucliers ennemis, particulièrement efficace contre les générateurs plus faibles.

L'arme tire des projectiles cinétiques à haute vitesse conçus pour surcharger facilement les boucliers ennemis. Dispose d'un chargeur automatique et est refroidi par liquide.

Excellente arme de soutien pour les petits vaisseaux. La faible vitesse de rotation du montage en fait un mauvais choix contre les chasseurs et les missiles.",,,,
lightdualac,,"FR: Une version à double canon du Canon Automatique Léger. Une excellente arme de soutien à courte portée, très efficace pour faire tomber les boucliers, mais souffre d'une portée effective plus courte en raison du fort recul.

Une conception mécanique ingénieusement élégante empêche les ports d'éjection de se bloquer tout en expulsant deux fois plus de douilles usées que le châssis standard. Comme la version à canon unique, l'arme tire des projectiles à haute vitesse conçus pour percer les boucliers ennemis. Les systèmes de chargeur automatique et de refroidissement par liquide sont identiques à la version à canon unique.",,,,
lightag,,"FR: Un canon de petit calibre conçu pour les combats à courte portée, excellent contre le blindage et avec une cadence de tir superbe.

Canon de petit calibre conçu pour tirer des obus hautement explosifs. La conception des systèmes de refroidissement et du chargeur automatique met l'accent sur la sécurité et la prévention des départs intempestifs potentiellement causés par des niveaux de flux élevés. Favori des capitaines de destroyers qui ont quelque chose à prouver.",,,,
fragbomb,,"FR: Libère un groupe de bombes flottantes qui conservent l'élan du vaisseau lanceur. Les bombes sont équipées d'une fusée de proximité.

Un lanceur de Bombes à Fragmentation tire des bombes Mark VI depuis trois tubes. Sans guidage ni système de propulsion, les bombes dépendent d'un système de ciblage ami-ennemi. Leur grand nombre leur permet de couvrir une large zone de l'espace, créant efficacement une barrière de Défense Ponctuelle à cet endroit, bien que pour une durée limitée. Lorsque la fusée de proximité est déclenchée par un vaisseau ennemi, la bombe détonne, produisant des effets similaires à ceux des armes antiaériennes.",,,,
clusterbomb,,"FR: Libère un groupe de bombes explosives flottantes. Plus efficace contre les cibles non blindées et à déplacement lent.

Un lanceur de Bombes en Grappe est équipé de trois tubes conçus pour tirer des dizaines de bombes à charge creuse Mark II. Les bombes ne sont pas guidées et n'ont pas de système de propulsion, s'appuyant sur l'élan initial du vaisseau d'attaque pour engager la cible. Elles sont équipées d'un scanner de ciblage ami-ennemi et ne détonent que lors de l'impact avec une cible appropriée. La charge explosive formée est très efficace contre les cibles non blindées. Le nombre impressionnant de bombes qui peuvent être déployées par ce système d'arme est stupéfiant, ce qui fait de la Bombe en Grappe une arme utile pour le déni de zone.",,,,
bomb,,"FR: Un système d'armement éprouvé, la soute à bombes contient plusieurs ogives qui s'appuient sur la vitesse du vaisseau lanceur pour atteindre leur cible.

Chaque soute à bombes est équipée de plusieurs bombes Comp-X hautement explosives non guidées qui peuvent être larguées une par une. Les bombes n'ont pas de système de propulsion et dépendent de la vitesse du vaisseau lanceur pour les porter jusqu'à la cible (c'est-à-dire, bombardement en piqué). Le blindage atmosphérique intrinsèque à la conception donne également aux bombes une longue durée de vie dans un environnement hostile de Défense Ponctuelle.",,,,
