freq,tip
0,"Vous pouvez changer la fréquence des astuces en ajoutant un objet JSON au lieu d'une chaîne, comme ceci. Par exemple, cette astuce a une fréquence de 0 et n'apparaîtra jamais. La valeur par défaut de freq est 1."
1,"Baissez vos boucliers pour dissiper le flux « dur » généré par les dégâts aux boucliers."
1,"Les boucliers et les armes génèrent tous deux du flux. Baisser vos boucliers pour encaisser quelques coups sur la coque et l'armure augmentera votre puissance de feu soutenue. C'est vital, surtout pour les vaisseaux lourdement blindés."
1,"Les dégâts des armes à faisceau sur les boucliers génèrent du flux « mou » qui peut être dissipé sans baisser les boucliers."
1,"Appuyez sur TAB pour afficher l'interface de commandement. Utilisez-la pour donner des ordres à votre flotte."
1,"Ordonner à un vaisseau d'en escorter un autre limite sa mobilité. Utilisez cette commande avec précaution."
1,"Si vos boucliers subissent trop de dégâts, le vaisseau sera en surcharge et les armes et boucliers seront désactivés pendant quelques secondes."
1,"Les missiles longue portée (LRM) peuvent toucher des cibles au-delà de la portée visuelle. Appuyez sur Tab pour ouvrir l'interface de commandement et ciblez les vaisseaux éloignés en cliquant dessus puis en sélectionnant 'Définir comme cible'."
1,"En combat, déplacez la souris pour faire défiler la vue. Appuyez sur 'T' pour verrouiller la vue sur votre cible, et appuyez à nouveau sur 'T' pour revenir à la vue normale."
1,"Appuyez sur le bouton gauche de la souris pour tirer et sur le bouton droit pour utiliser les boucliers. Utilisez ZQSD pour piloter le vaisseau."
1,"Les dégâts cinétiques sont efficaces contre les boucliers, tandis que les dégâts explosifs sont efficaces contre l'armure."
1,"Les dégâts de fragmentation sont peu efficaces contre tout sauf la coque exposée, mais les armes qui en infligent ont tendance à être très économes en flux."
1,"Les armes à énergie sont également efficaces contre les boucliers et l'armure, mais ne sont pas aussi bonnes que les types de dégâts plus spécialisés contre l'un ou l'autre."
1,"Un emplacement d'arme à missiles est polyvalent - il existe des missiles pour pratiquement tous les rôles - mais les lanceurs de missiles ont généralement très peu de munitions."
1,"Tirer avec les armes ou utiliser les boucliers génère du flux. Lorsque le niveau de flux est au maximum, vous devrez attendre qu'il baisse avant de pouvoir tirer à nouveau."
1,"Les vaisseaux reçoivent un bonus de vitesse maximale lorsque leur niveau de flux est à zéro et qu'ils n'en génèrent pas."
1,"Lors du réarmement d'un vaisseau, maintenez Shift et cliquez sur un emplacement d'arme pour installer l'arme précédemment sélectionnée sans ouvrir le menu de sélection."
1,"Pour créer des groupes d'armes, maintenez Shift et cliquez pour assigner toutes les armes du même type."
1,"Lors de l'édition d'un champ de texte, vous pouvez appuyer sur Shift-Retour arrière pour l'effacer, ou Ctrl-Retour arrière pour supprimer le dernier mot."
1,"La plupart des échanges commerciaux sur le marché libre sont rendus non rentables par les tarifs. Exploitez les événements en cours et les perturbations pour réaliser un profit."
1,"Maintenez Shift en ajoutant ou en retirant des évents ou des capaciteurs de flux pour le faire plus rapidement."
1,"Maintenez la touche Shift en utilisant la molette de la souris pour défiler plus rapidement."
1,"Ctrl-clic pour acheter/vendre un lot. Shift-clic pour prendre les objets un par un. Maintenez Shift et cliquez-glissez pour sélectionner une quantité spécifique."
1,"Pour déplacer la carte en combat, faites un clic droit et glissez ou utilisez les touches fléchées."
1,"Le lancement de torpilles à bout portant peut être dangereux pour votre vaisseau."
1,"Les vaisseaux avec la désignation (D) sont des versions inférieures des coques normales."
1,"Déployer des vaisseaux au combat réduit leur état de préparation au combat (« CR »), qui coûte des ressources à récupérer."
1,"Déployer plus de vaisseaux que nécessaire au combat peut coûter plus de ressources que ce que vous gagnez en combattant."
1,"Les vaisseaux consomment des ressources pour l'entretien en fonction de leur statistique ressources/mois, et en consomment davantage lors de la récupération du CR ou des réparations."
1,"Votre flotte peut transporter du cargo, de l'équipage ou du carburant au-delà de sa capacité maximale au prix d'une consommation supplémentaire de ressources."
1,"Vous pouvez obtenir des informations supplémentaires de nombreuses infobulles en appuyant sur F1 pour les développer."
1,"Plus d'armes n'est pas toujours mieux - avoir assez de capacité et de dissipation de flux pour un tir soutenu peut être plus important."
1,"Réarmer un vaisseau dans l'espace réduira son état de préparation au combat, en particulier lors du changement de modifications de coque."
1,"Les armes qui tirent des projectiles énergétiques ou des projectiles peuvent toucher des cibles au-delà de leur portée maximale, mais n'infligent que des dégâts de flux mou aux boucliers dans ce cas."
1,"Vous pouvez créer des groupes de vaisseaux en utilisant Ctrl et les touches numériques, et les sélectionner en utilisant les touches numériques. Cela fonctionne à la fois en combat et dans la boîte de dialogue de déploiement."
1,"Les porte-avions arrêteront de lancer des chasseurs de remplacement une fois que leur état de préparation au combat atteint 0%."
1,"Les porte-avions armés uniquement d'armes de défense ponctuelle et de missiles tenteront de se tenir à l'écart des vaisseaux ennemis."
1,"Appuyez sur 'Z' pour basculer entre ordonner aux chasseurs d'un porte-avions d'attaquer ou de se replier vers le porte-avions."
1,"Ordonner aux chasseurs de se regrouper ralentira la baisse du taux de remplacement du porte-avions, et les escadrilles endommagées tenteront de s'abriter derrière le porte-avions."
1,"Lorsque vous pilotez un porte-avions, ses chasseurs escorteront un vaisseau allié si le porte-avions le cible, et continueront à l'escorter jusqu'à leur rappel même si la cible est effacée."
1,"Les armes ont un recul réduit de moitié lorsqu'elles sont montées dans des emplacements renforcés."
